component_catalog_id,brand_name,part_key,part_name,component_name,canonical_key,component_category,series_name,model_code,official_url,description
39,Shimano,brake,Brake,Shimano SLX BR-M7100 Hydraulic,brakes_shimano_slx_br_m7100_hydraulic,Brakes,,,,Brakes: Shimano SLX BR-M7100 Hydraulic
40,oyama,frame,Frame,"OYAMA / 27.5"" ALLOY 6061",frame_oyama_27_5_alloy_6061,Frame,,,,"Frame: OYAMA / 27.5"" ALLOY 6061"
41,oyama,fork,Fork,RST / ALPHA-27.5+PLUS-TNL-T100,fork_rst_alpha_27_5_plus_tnl_t100,Fork,,,,Fork: RST / ALPHA-27.5+PLUS-TNL-T100
42,Shimano,derailleur,Derailleur,SHIMANO DEORE / 3*10 Speed / 11-34T,derailleur_shimano_deore_3_10_speed_11_34t,Derailleur,,,,Derailleur: SHIMANO DEORE / 3*10 Speed / 11-34T
43,Shimano,brake,Brake,SHIMANO M365 / Disc Brake,brake_shimano_m365_disc_brake,Brake,,,,Brake: SHIMANO M365 / Disc Brake
44,oyama,wheel,Wheel,"27.5"" (650B)*2.125""*13G*36H ALLOY",wheels_27_5_650b_2_125_13g_36h_alloy,Wheels,,,,"Wheels: 27.5"" (650B)*2.125""*13G*36H ALLOY"
45,oyama,tyre,Tyre,"DURO / 650B*3.0"" / W / OYAMA",tires_duro_650b_3_0_w_oyama,Tires,,,,"Tires: DURO / 650B*3.0"" / W / OYAMA"
46,oyama,battery,Battery,36V / 10.4A,battery_36v_10_4a,Battery,,,,Battery: 36V / 10.4A
47,oyama,motor,Motor,BAFANG MAX 36V / 350W,motor_bafang_max_36v_350w,Motor,,,,Motor: BAFANG MAX 36V / 350W
48,oyama,frame,Frame,"27.5"" Alloy Hardtail",frame_27_5_alloy_hardtail,Frame,,,,"Frame: 27.5"" Alloy Hardtail"
49,oyama,motor,Motor,Bafang H305 250W 40Nm,e_motor_bafang_h305_250w_40nm,E-Motor,,,,E-Motor: Bafang H305 250W 40Nm
50,oyama,battery,Battery,Fullpower 36V/14Ah 504Wh,e_battery_fullpower_36v_14ah_504wh,E-Battery,,,,E-Battery: Fullpower 36V/14Ah 504Wh
51,oyama,fork,Fork,Zoom AMS-595 HL,front_fork_zoom_ams_595_hl,Front Fork,,,,Front Fork: Zoom AMS-595 HL
52,Shimano,derailleur,Derailleur,Shimano CUES RD-U6020SGS,r_derailleur_shimano_cues_rd_u6020sgs,R/Derailleur,,,,R/Derailleur: Shimano CUES RD-U6020SGS
53,oyama,chain,Chain,Prowheel Charm-FD04S 36T,chainwheel_prowheel_charm_fd04s_36t,Chainwheel,,,,Chainwheel: Prowheel Charm-FD04S 36T
54,Shimano,cassette,Cassette,Shimano CN-LG500 10S,cassettes_shimano_cn_lg500_10s,Cassettes,,,,Cassettes: Shimano CN-LG500 10S
55,oyama,tyre,Tyre,"CST C-1846 27.5""*2.0""",tire_cst_c_1846_27_5_2_0,Tire,,,,"Tire: CST C-1846 27.5""*2.0"""
56,oyama,brake,Brake,Tektro HD-E350 Hydrulic DB,brakes_tektro_hd_e350_hydrulic_db,Brakes,,,,Brakes: Tektro HD-E350 Hydrulic DB
57,oyama,motor,Motor,Bafang M510 36V/250W 80Nm,e_motor_bafang_m510_36v_250w_80nm,E-Motor,,,,E-Motor: Bafang M510 36V/250W 80Nm
58,oyama,battery,Battery,Phylion IGH-2C 36V/9.6Ah 346Wh,e_battery_phylion_igh_2c_36v_9_6ah_346wh,E-Battery,,,,E-Battery: Phylion IGH-2C 36V/9.6Ah 346Wh
59,oyama,tyre,Tyre,"CST Forekaster 29""*2.4"" 60TPi",tire_cst_forekaster_29_2_4_60tpi,Tire,,,,"Tire: CST Forekaster 29""*2.4"" 60TPi"
60,oyama,frame,Frame,"26"" Alloy MTB Full Susp",frame_26_alloy_mtb_full_susp,Frame,,,,"Frame: 26"" Alloy MTB Full Susp"
61,oyama,motor,Motor,Bafang H305 36V/250W 45Nm,e_motor_bafang_h305_36v_250w_45nm,E-Motor,,,,E-Motor: Bafang H305 36V/250W 45Nm
62,oyama,fork,Fork,Zoom 595AMS HL/O,front_fork_zoom_595ams_hl_o,Front Fork,,,,Front Fork: Zoom 595AMS HL/O
63,Shimano,derailleur,Derailleur,Shimano CUES RD-U6000GS,r_derailleur_shimano_cues_rd_u6000gs,R/Derailleur,,,,R/Derailleur: Shimano CUES RD-U6000GS
64,Shimano,cassette,Cassette,Shimano CUES LG-410 11-39T,cassettes_shimano_cues_lg_410_11_39t,Cassettes,,,,Cassettes: Shimano CUES LG-410 11-39T
65,oyama,tyre,Tyre,"CST IKON 26""*2.20"" 60TPi",tire_cst_ikon_26_2_20_60tpi,Tire,,,,"Tire: CST IKON 26""*2.20"" 60TPi"
66,oyama,brake,Brake,Tektro HD-E3520 Hydraulic DB,brakes_tektro_hd_e3520_hydraulic_db,Brakes,,,,Brakes: Tektro HD-E3520 Hydraulic DB
67,oyama,frame,Frame,700C Alloy Road,frame_700c_alloy_road,Frame,,,,Frame: 700C Alloy Road
68,oyama,motor,Motor,Bafang M820 36V 75Nm,e_motor_bafang_m820_36v_75nm,E-Motor,,,,E-Motor: Bafang M820 36V 75Nm
69,oyama,battery,Battery,Fullpower 36V/7Ah 252Wh,e_battery_fullpower_36v_7ah_252wh,E-Battery,,,,E-Battery: Fullpower 36V/7Ah 252Wh
70,oyama,fork,Fork,700C Alloy Rigid,front_fork_700c_alloy_rigid,Front Fork,,,,Front Fork: 700C Alloy Rigid
71,Shimano,derailleur,Derailleur,Shimano GRX RD-RX810 11S,r_derailleur_shimano_grx_rd_rx810_11s,R/Derailleur,,,,R/Derailleur: Shimano GRX RD-RX810 11S
72,oyama,chain,Chain,Bafang G532 ISIS,chainwheel_bafang_g532_isis,Chainwheel,,,,Chainwheel: Bafang G532 ISIS
73,Shimano,cassette,Cassette,Shimano CS-HG700 11S 11-34T,cassettes_shimano_cs_hg700_11s_11_34t,Cassettes,,,,Cassettes: Shimano CS-HG700 11S 11-34T
74,Wtb,tyre,Tyre,WTB 700C*40C 60TPi,tire_wtb_700c_40c_60tpi,Tire,,,,Tire: WTB 700C*40C 60TPi
75,Shimano,brake,Brake,Shimano GRX Hydraulic DB,brakes_shimano_grx_hydraulic_db,Brakes,,,,Brakes: Shimano GRX Hydraulic DB
76,oyama,motor,Motor,Bafang H600 250W 30Nm,e_motor_bafang_h600_250w_30nm,E-Motor,,,,E-Motor: Bafang H600 250W 30Nm
77,Shimano,derailleur,Derailleur,Shimano Tiagra RD-4700GS,r_derailleur_shimano_tiagra_rd_4700gs,R/Derailleur,,,,R/Derailleur: Shimano Tiagra RD-4700GS
78,oyama,chain,Chain,Prowheel RPL-FD24AW 45T,chainwheel_prowheel_rpl_fd24aw_45t,Chainwheel,,,,Chainwheel: Prowheel RPL-FD24AW 45T
79,Shimano,cassette,Cassette,Shimano CS-HG500 10S 11-32T,cassettes_shimano_cs_hg500_10s_11_32t,Cassettes,,,,Cassettes: Shimano CS-HG500 10S 11-32T
80,oyama,brake,Brake,Tektro HD-R285 Hydraulic DB,brakes_tektro_hd_r285_hydraulic_db,Brakes,,,,Brakes: Tektro HD-R285 Hydraulic DB
81,oyama,motor,Motor,Bafang M820 36V/250W 75Nm,e_motor_bafang_m820_36v_250w_75nm,E-Motor,,,,E-Motor: Bafang M820 36V/250W 75Nm
82,oyama,battery,Battery,Fullpower 36V/9.8Ah 382Wh,e_battery_fullpower_36v_9_8ah_382wh,E-Battery,,,,E-Battery: Fullpower 36V/9.8Ah 382Wh
83,oyama,chain,Chain,Bafang G532 ISIS01 44T,chainwheel_bafang_g532_isis01_44t,Chainwheel,,,,Chainwheel: Bafang G532 ISIS01 44T
84,oyama,tyre,Tyre,CST Rambler 700C*40C F/V,tire_cst_rambler_700c_40c_f_v,Tire,,,,Tire: CST Rambler 700C*40C F/V
85,Shimano,brake,Brake,Shimano GRX Hydraulic Disc Brake,brakes_shimano_grx_hydraulic_disc_brake,Brakes,,,,Brakes: Shimano GRX Hydraulic Disc Brake
86,oyama,motor,Motor,Bafang H600 36V/250W 30Nm,e_motor_bafang_h600_36v_250w_30nm,E-Motor,,,,E-Motor: Bafang H600 36V/250W 30Nm
87,Shimano,derailleur,Derailleur,Shimano Tiagra RD-4700GS 10S,r_derailleur_shimano_tiagra_rd_4700gs_10s,R/Derailleur,,,,R/Derailleur: Shimano Tiagra RD-4700GS 10S
88,oyama,chain,Chain,Prowheel PRO-SL-02 42T,chainwheel_prowheel_pro_sl_02_42t,Chainwheel,,,,Chainwheel: Prowheel PRO-SL-02 42T
89,Shimano,cassette,Cassette,Shimano CS-HG500 10S 11-25T,cassettes_shimano_cs_hg500_10s_11_25t,Cassettes,,,,Cassettes: Shimano CS-HG500 10S 11-25T
90,oyama,brake,Brake,Tektro R285 Hydraulic Disc Brake,brakes_tektro_r285_hydraulic_disc_brake,Brakes,,,,Brakes: Tektro R285 Hydraulic Disc Brake
91,oyama,frame,Frame,"20"" Alloy eFolding",frame_20_alloy_efolding,Frame,,,,"Frame: 20"" Alloy eFolding"
92,oyama,motor,Motor,Bafang RM H305 G100 36V,e_motor_bafang_rm_h305_g100_36v,E-Motor,,,,E-Motor: Bafang RM H305 G100 36V
93,oyama,fork,Fork,OYAMA Alloy Rigid Fork,front_fork_oyama_alloy_rigid_fork,Front Fork,,,,Front Fork: OYAMA Alloy Rigid Fork
94,Shimano,derailleur,Derailleur,Shimano Cues RD-6020 10S,r_derailleur_shimano_cues_rd_6020_10s,R/Derailleur,,,,R/Derailleur: Shimano Cues RD-6020 10S
95,oyama,chain,Chain,Prowheel 52T,chainwheel_prowheel_52t,Chainwheel,,,,Chainwheel: Prowheel 52T
96,Shimano,cassette,Cassette,Shimano Cues CS-LG300 11-39T,cassettes_shimano_cues_cs_lg300_11_39t,Cassettes,,,,Cassettes: Shimano Cues CS-LG300 11-39T
97,oyama,tyre,Tyre,"Kenda K-1045 20""*2.0""",tire_kenda_k_1045_20_2_0,Tire,,,,"Tire: Kenda K-1045 20""*2.0"""
98,oyama,brake,Brake,Tektro HD-M280 Hydraulic DB,brakes_tektro_hd_m280_hydraulic_db,Brakes,,,,Brakes: Tektro HD-M280 Hydraulic DB
99,oyama,frame,Frame,"16"" Alloy eFolding",frame_16_alloy_efolding,Frame,,,,"Frame: 16"" Alloy eFolding"
100,oyama,motor,Motor,Bafang FM H400,e_motor_bafang_fm_h400,E-Motor,,,,E-Motor: Bafang FM H400
101,oyama,battery,Battery,Fullpower 36V/3.5Ah 126Wh,e_battery_fullpower_36v_3_5ah_126wh,E-Battery,,,,E-Battery: Fullpower 36V/3.5Ah 126Wh
102,Shimano,derailleur,Derailleur,Shimano Nexus 3S,r_derailleur_shimano_nexus_3s,R/Derailleur,,,,R/Derailleur: Shimano Nexus 3S
103,oyama,chain,Chain,Prowheel Solid-244 44T,chainwheel_prowheel_solid_244_44t,Chainwheel,,,,Chainwheel: Prowheel Solid-244 44T
104,Shimano,cassette,Cassette,Shimano 16T,cassettes_shimano_16t,Cassettes,,,,Cassettes: Shimano 16T
105,oyama,tyre,Tyre,"Kenda K-103 16""*1-3/8""",tire_kenda_k_103_16_1_3_8,Tire,,,,"Tire: Kenda K-103 16""*1-3/8"""
106,oyama,brake,Brake,C-Star V227DG V Brakes,brakes_c_star_v227dg_v_brakes,Brakes,,,,Brakes: C-Star V227DG V Brakes
107,oyama,frame,Frame,"20"" Alloy 6061 Folding Frame",frame_20_alloy_6061_folding_frame,Frame,,,,"Frame: 20"" Alloy 6061 Folding Frame"
108,oyama,fork,Fork,"20"" Steel / Disc Brake",fork_20_steel_disc_brake,Fork,,,,"Fork: 20"" Steel / Disc Brake"
109,Shimano,derailleur,Derailleur,SHIMANO ALTUS / 8 Speed / 12-32T,derailleur_shimano_altus_8_speed_12_32t,Derailleur,,,,Derailleur: SHIMANO ALTUS / 8 Speed / 12-32T
110,oyama,brake,Brake,TEKTRO / Disc Brake,brake_tektro_disc_brake,Brake,,,,Brake: TEKTRO / Disc Brake
111,oyama,wheel,Wheel,"ALLOY 20"" x 13G x 36H A/V",wheels_alloy_20_x_13g_x_36h_a_v,Wheels,,,,"Wheels: ALLOY 20"" x 13G x 36H A/V"
112,oyama,tyre,Tyre,"KENDA / 20"" x 1.75 A/V",tires_kenda_20_x_1_75_a_v,Tires,,,,"Tires: KENDA / 20"" x 1.75 A/V"
113,oyama,battery,Battery,DLG 36V / 8.7 AH,battery_dlg_36v_8_7_ah,Battery,,,,Battery: DLG 36V / 8.7 AH
114,oyama,motor,Motor,BAFANG RM. G12.250.DC 36V / 250W,motor_bafang_rm_g12_250_dc_36v_250w,Motor,,,,Motor: BAFANG RM. G12.250.DC 36V / 250W
115,oyama,frame,Frame,700C ALLOY 700C ALLOY,frame_700c_alloy_700c_alloy,Frame,,,,Frame: 700C ALLOY 700C ALLOY
116,oyama,fork,Fork,700C SUNTOUR SUS. FORK,fork_700c_suntour_sus_fork,Fork,,,,Fork: 700C SUNTOUR SUS. FORK
117,oyama,derailleur,Derailleur,38T,derailleur_38t,Derailleur,,,,Derailleur: 38T
118,oyama,brake,Brake,18T,brake_18t,Brake,,,,Brake: 18T
119,oyama,tyre,Tyre,KENDA 700*38C,tires_kenda_700_38c,Tires,,,,Tires: KENDA 700*38C
120,oyama,frame,Frame,700C Alloy CTB,frame_700c_alloy_ctb,Frame,,,,Frame: 700C Alloy CTB
121,oyama,motor,Motor,Bafang M210 36V 250W 70Nm,e_motor_bafang_m210_36v_250w_70nm,E-Motor,,,,E-Motor: Bafang M210 36V 250W 70Nm
122,oyama,battery,Battery,Fullpower 36V/10.5Ah 378Wh,e_battery_fullpower_36v_10_5ah_378wh,E-Battery,,,,E-Battery: Fullpower 36V/10.5Ah 378Wh
123,oyama,fork,Fork,Suntour NEX-E25 700C,front_fork_suntour_nex_e25_700c,Front Fork,,,,Front Fork: Suntour NEX-E25 700C
124,Shimano,derailleur,Derailleur,Shimano Nexus 7S,r_derailleur_shimano_nexus_7s,R/Derailleur,,,,R/Derailleur: Shimano Nexus 7S
125,oyama,chain,Chain,Prowheel NWA38T,chainwheel_prowheel_nwa38t,Chainwheel,,,,Chainwheel: Prowheel NWA38T
126,Shimano,cassette,Cassette,Shimano SMGEAR16SP 16T,cassettes_shimano_smgear16sp_16t,Cassettes,,,,Cassettes: Shimano SMGEAR16SP 16T
127,oyama,tyre,Tyre,Kenda K-1172 700C*40C,tire_kenda_k_1172_700c_40c,Tire,,,,Tire: Kenda K-1172 700C*40C
128,oyama,brake,Brake,Tektro HD-T280 Hydraulic DB,brakes_tektro_hd_t280_hydraulic_db,Brakes,,,,Brakes: Tektro HD-T280 Hydraulic DB
129,oyama,motor,Motor,Bafang FM H400 36V 250W 45Nm,e_motor_bafang_fm_h400_36v_250w_45nm,E-Motor,,,,E-Motor: Bafang FM H400 36V 250W 45Nm
130,oyama,brake,Brake,Tektro MD-280 Mechanic DB,brakes_tektro_md_280_mechanic_db,Brakes,,,,Brakes: Tektro MD-280 Mechanic DB
131,oyama,frame,Frame,700C Alloy City,frame_700c_alloy_city,Frame,,,,Frame: 700C Alloy City
132,oyama,motor,Motor,G. Falcon RM-I3A 36V/250W 45NM,e_motor_g_falcon_rm_i3a_36v_250w_45nm,E-Motor,,,,E-Motor: G. Falcon RM-I3A 36V/250W 45NM
133,oyama,derailleur,Derailleur,G. Falcon Nexus 3S,r_derailleur_g_falcon_nexus_3s,R/Derailleur,,,,R/Derailleur: G. Falcon Nexus 3S
134,oyama,cassette,Cassette,G. Falcon Nexus 3S 16T,cassettes_g_falcon_nexus_3s_16t,Cassettes,,,,Cassettes: G. Falcon Nexus 3S 16T
135,oyama,tyre,Tyre,CST Metropass 700C*45C 60TPi,tire_cst_metropass_700c_45c_60tpi,Tire,,,,Tire: CST Metropass 700C*45C 60TPi
136,oyama,frame,Frame,700C Alloy Trekking,frame_700c_alloy_trekking,Frame,,,,Frame: 700C Alloy Trekking
137,oyama,motor,Motor,Bafang M410 36V/250W 80Nm,e_motor_bafang_m410_36v_250w_80nm,E-Motor,,,,E-Motor: Bafang M410 36V/250W 80Nm
138,oyama,fork,Fork,Suntour NEX-E25 700C T:63mmL,front_fork_suntour_nex_e25_700c_t_63mml,Front Fork,,,,Front Fork: Suntour NEX-E25 700C T:63mmL
139,Shimano,derailleur,Derailleur,Shimano CUES RD-U4000 9S,r_derailleur_shimano_cues_rd_u4000_9s,R/Derailleur,,,,R/Derailleur: Shimano CUES RD-U4000 9S
140,oyama,chain,Chain,Prowheel 38T,chainwheel_prowheel_38t,Chainwheel,,,,Chainwheel: Prowheel 38T
141,Shimano,cassette,Cassette,Shimano CUES LG400 11-36T 9S,cassettes_shimano_cues_lg400_11_36t_9s,Cassettes,,,,Cassettes: Shimano CUES LG400 11-36T 9S
142,oyama,frame,Frame,OYAMA / 700C Alloy 6061,frame_oyama_700c_alloy_6061,Frame,,,,Frame: OYAMA / 700C Alloy 6061
143,oyama,fork,Fork,"STEEL / ALLOY FORK,",fork_steel_alloy_fork,Fork,,,,"Fork: STEEL / ALLOY FORK,"
144,Shimano,derailleur,Derailleur,SHIMANO ALTUS 9S / 11-34T,derailleur_shimano_altus_9s_11_34t,Derailleur,,,,Derailleur: SHIMANO ALTUS 9S / 11-34T
145,oyama,brake,Brake,TEKTRO /FR 5 & Disc,brake_tektro_fr_5_disc,Brake,,,,Brake: TEKTRO /FR 5 & Disc
146,oyama,wheel,Wheel,"700C*1.5""*13G*36H ALLOY",wheels_700c_1_5_13g_36h_alloy,Wheels,,,,"Wheels: 700C*1.5""*13G*36H ALLOY"
147,oyama,tyre,Tyre,KENDA / 700C*45C,tires_kenda_700c_45c,Tires,,,,Tires: KENDA / 700C*45C
148,oyama,battery,Battery,DLG 36V / 10.4 AH,battery_dlg_36v_10_4_ah,Battery,,,,Battery: DLG 36V / 10.4 AH
149,oyama,motor,Motor,BAFANG RM. G05. 350. DC 36V / 350W,motor_bafang_rm_g05_350_dc_36v_350w,Motor,,,,Motor: BAFANG RM. G05. 350. DC 36V / 350W
150,oyama,frame,Frame,OYAMA 20”STEEL W/MS JOINT,frame_oyama_20_steel_w_ms_joint,Frame,,,,Frame: OYAMA 20”STEEL W/MS JOINT
151,oyama,fork,Fork,OYAMA 20”STEEL FORK,fork_oyama_20_steel_fork,Fork,,,,Fork: OYAMA 20”STEEL FORK
152,Shimano,derailleur,Derailleur,SHIMANO TOURNEY 6 SPEED,derailleur_shimano_tourney_6_speed,Derailleur,,,,Derailleur: SHIMANO TOURNEY 6 SPEED
153,oyama,frame,Frame,"20"" ALLOY W/LU JOINT",frame_20_alloy_w_lu_joint,Frame,,,,"Frame: 20"" ALLOY W/LU JOINT"
154,oyama,fork,Fork,"20"" ALLOY",fork_20_alloy,Fork,,,,"Fork: 20"" ALLOY"
155,Shimano,derailleur,Derailleur,SHIMANO ALTUS 8 SPEED,derailleur_shimano_altus_8_speed,Derailleur,,,,Derailleur: SHIMANO ALTUS 8 SPEED
156,oyama,frame,Frame,"20"" ALLOY W / LF JOINT",frame_20_alloy_w_lf_joint,Frame,,,,"Frame: 20"" ALLOY W / LF JOINT"
157,oyama,fork,Fork,"20"" STEEL",fork_20_steel,Fork,,,,"Fork: 20"" STEEL"
158,oyama,frame,Frame,Alloy 6061 Frame with LF Joint,frame_alloy_6061_frame_with_lf_joint,Frame,,,,Frame: Alloy 6061 Frame with LF Joint
159,oyama,fork,Fork,Steel Rigid Fork,fork_steel_rigid_fork,Fork,,,,Fork: Steel Rigid Fork
160,Shimano,handlebar,Handlebar,SHIMANO Nexus 7 Speeds,derailleur_system_shimano_nexus_7_speeds,Derailleur System,,,,Derailleur System: SHIMANO Nexus 7 Speeds
161,oyama,brake,Brake,PROMAX V-Brake,brake_promax_v_brake,Brake,,,,Brake: PROMAX V-Brake
162,oyama,wheel,Wheel,Alloy 20”,wheelset_alloy_20,Wheelset,,,,Wheelset: Alloy 20”
163,Maxxis,tyre,Tyre,MAXXIS POAMER 20”x1.65”,tire_maxxis_poamer_20_x1_65,Tire,,,,Tire: MAXXIS POAMER 20”x1.65”
164,oyama,frame,Frame,"20"" ALLOY W/AA JOINT",frame_20_alloy_w_aa_joint,Frame,,,,"Frame: 20"" ALLOY W/AA JOINT"
165,Shimano,derailleur,Derailleur,SHIMANO NEXUS 3SPEED,derailleur_shimano_nexus_3speed,Derailleur,,,,Derailleur: SHIMANO NEXUS 3SPEED
166,oyama,frame,Frame,OYAMA 20”ALLOY W/LV JOINT,frame_oyama_20_alloy_w_lv_joint,Frame,,,,Frame: OYAMA 20”ALLOY W/LV JOINT
167,Shimano,derailleur,Derailleur,SHIMANO NEXUS 7 SPEED,derailleur_shimano_nexus_7_speed,Derailleur,,,,Derailleur: SHIMANO NEXUS 7 SPEED
168,oyama,frame,Frame,OYAMA 20”ALLOY W/LF JOINT,frame_oyama_20_alloy_w_lf_joint,Frame,,,,Frame: OYAMA 20”ALLOY W/LF JOINT
169,Shimano,derailleur,Derailleur,SHIMANO NEXUS 3 SPEED COASTER,derailleur_shimano_nexus_3_speed_coaster,Derailleur,,,,Derailleur: SHIMANO NEXUS 3 SPEED COASTER
170,oyama,frame,Frame,"20"" STEEL W/ MS JOINT",frame_20_steel_w_ms_joint,Frame,,,,"Frame: 20"" STEEL W/ MS JOINT"
